Week,Product Name,Inventory Count,Product ID,Quantity,Location
2024-04-28 18:22:01.125821,Wireless Mouse,498,PID000,411,Stuttgart
2024-07-07 18:22:01.125821,Wireless Mouse,317,PID000,396,Düsseldorf
2024-09-22 18:22:01.125821,Wireless Mouse,377,PID000,157,Frankfurt
2024-05-12 18:22:01.125821,Wireless Mouse,195,PID000,445,Leipzig
2024-06-16 18:22:01.125821,Wireless Mouse,87,PID000,399,Dortmund
2024-04-21 18:22:01.125821,Wireless Mouse,243,PID000,361,Munich
2024-06-23 18:22:01.125821,Wireless Mouse,54,PID000,252,Leipzig
2024-07-28 18:22:01.125821,Wireless Mouse,259,PID000,327,Dortmund
2024-08-18 18:22:01.125821,Wireless Mouse,214,PID000,394,Munich
2024-04-21 18:22:01.125821,Wireless Mouse,287,PID000,83,Leipzig
2024-09-01 18:22:01.125821,Wireless Mouse,331,PID000,286,Frankfurt
2024-06-09 18:22:01.125821,Wireless Mouse,140,PID000,59,Essen
2024-06-02 18:22:01.125821,Wireless Mouse,209,PID000,479,Stuttgart
2024-07-21 18:22:01.125821,Wireless Mouse,117,PID000,213,Dortmund
2024-05-19 18:22:01.125821,Wireless Mouse,307,PID000,404,Düsseldorf
2024-07-14 18:22:01.125821,Wireless Mouse,186,PID000,343,Düsseldorf
2024-04-28 18:22:01.125821,Wireless Mouse,211,PID000,265,Berlin
2024-09-29 18:22:01.125821,Wireless Mouse,79,PID000,156,Hamburg
2024-09-22 18:22:01.125821,Wireless Mouse,369,PID000,413,Munich
2024-10-13 18:22:01.125821,Wireless Mouse,143,PID000,495,Berlin
2024-10-06 18:22:01.125821,Wireless Mouse,245,PID000,167,Essen
2024-06-30 18:22:01.125821,Wireless Mouse,397,PID000,157,Essen
2024-06-16 18:22:01.125821,Wireless Mouse,294,PID000,244,Munich
2024-07-14 18:22:01.125821,Wireless Mouse,319,PID000,344,Düsseldorf
2024-07-14 18:22:01.125821,Wireless Mouse,74,PID000,285,Essen
2024-05-05 18:22:01.125821,Wireless Mouse,226,PID000,224,Berlin
2024-10-13 18:22:01.125821,Wireless Mouse,238,PID000,435,Frankfurt
2024-05-26 18:22:01.125821,Wireless Mouse,81,PID000,284,Munich
2024-08-04 18:22:01.125821,Wireless Mouse,264,PID000,399,Berlin
2024-04-28 18:22:01.125821,Wireless Mouse,189,PID000,108,Cologne
2024-06-02 18:22:01.125821,Wireless Mouse,195,PID000,273,Dortmund
2024-07-07 18:22:01.125821,Wireless Mouse,177,PID000,118,Frankfurt
